1974,Chinatown,Roman Polanski,NULL,NULL,0,NULL,0,NULL
1963,Shock Corridor,Samuel Fuller,NULL,NULL,0,NULL,0,NULL
1963,Youth of the Beast,Seijun Suzuki [鈴木 清順],NULL,Joe Shishido [宍戸 錠],0,野獣の青春,0,NULL
1967,Branded to Kill,Seijun Suzuki [鈴木 清順],NULL,Joe Shishido [宍戸 錠],0,殺しの烙印,0,NULL
1974,Pastoral: To Die in the Country,Shūji Terayama [寺山 修司],NULL,NULL,0,田園に死す,0,NULL
2021,No Trance,Simon Lavoie,NULL,NULL,0,NULL,0,NULL
1999,The Virgin Suicides,Sofia Coppola,NULL,NULL,0,NULL,0,NULL
1971,A Clockwork Orange,Stanley Kubrick,"Anthony Burgess (novel), Stanley Kubrick",Malcolm McDowell,0,NULL,0,NULL
1995,Sabrina,Sydney Pollack,NULL,"Harrison Ford, Julia Ormond",0,NULL,0,NULL
1967,A Colt Is My Passport,Takashi Nomura [野村 孝],NULL,Joe Shishido [宍戸 錠],0,拳銃は俺のパスポート,0,NULL
1973,Badlands,Terrence Malick,NULL,NULL,0,NULL,0,NULL
1973,Lady Snowblood,Toshiya Fujita [藤田 敏八],NULL,Meiko Kaji [梶 芽衣子],0,修羅雪姫,0,NULL
2008,Home,Ursula Meier,"Ursula Meier, Antoine Jaccoud",Isabelle Huppert,0,NULL,0,NULL
1980,Cruising,William Friedkin,NULL,NULL,0,NULL,0,NULL
1995,Fallen Angels,Wong Kar-wai [王家衛],Wong Kar-Wai [王家衛],NULL,0,墮落天使,0,NULL
1977,Annie Hall,Woody Allen,"Woody Allen, Marshall Brickman","Woody Allen, Diane Keaton",0,NULL,0,NULL
1995,La cérémonie,Claude Chabrol,"Ruth Rendell (novel), Claude Chabrol, Caroline Eliacheff","Sandrine Bonnaire, Isabelle Huppert, Virginie Ledoyen",0,NULL,0,NULL
1962,Lolita,Stanley Kubrick,Vladimir Nabokov,"James Mason, Sue Lyon",0,NULL,0,NULL
1990,Metropolitan,Whit Stillman,Whit Stillman,"Carolyn Farina, Chris Eigeman, Taylor Nichols",0,NULL,0,Roman Shaded D
1975,Four Women,Julie Dash,NULL,Linda Martina Young,0,NULL,1,NULL
2004,Influenza,Bong Joon Ho [奉俊昊],NULL,NULL,0,NULL,1,NULL
1965,With Beauty and Sorrow,Masahiro Shinoda [篠田 正浩],"Yasunari Kawabata [川端 康成] (novel), Nobuo Yamada [山田 信夫]","Kaoru Yachigusa [八千草 薫], Mariko Kaga [加賀 まりこ]",0,美しさと哀しみ,0,NULL
